state,district,month,ASSI_0_100,enrol_total,demo_total,bio_total,migration_signal,urbanisation_signal,ageing_signal,inclusion_signal,anomaly_flag
Maharashtra,Ahmadnagar,2025-12-01,66.73071352920178,4446,41769,48724,4.055698527452804,0.20130104990227377,10.956824825725208,0.9201709017315044,False
Rajasthan,Didwana-Kuchaman,2025-12-01,57.46580718154831,2,616,6,25.699476095621552,0.0,2.3333333333333335,1.0,False
Maharashtra,Yavatmal,2025-12-01,57.39791350976841,1421,32349,40116,3.281436759271714,2.400264526774596,28.21167369901547,0.8888888888888888,False
Madhya Pradesh,Rajgarh,2025-12-01,56.728977168200196,3095,7556,13728,12.820979402108412,7.582540563086187,4.434431524547803,0.8766149870801033,False
Rajasthan,Beawar,2025-12-01,56.26855421520782,1,449,8,24.436990331057462,0.0,4.5,1.0,False
Maharashtra,Washim,2025-12-01,56.120210255139696,833,9573,17017,2.947232153805368,0.0,20.4052757793765,0.960431654676259,False
Maharashtra,Wardha,2025-12-01,55.73209415176347,554,6937,16774,5.7905022042821335,0.0,30.225225225225227,0.972972972972973,False
Bihar,Purnia,2025-12-01,55.530088985906275,3269,34343,26224,13.845617361690215,1.715387264249918,8.019877675840979,0.6513761467889908,False
Odisha,Kendujhar,2025-12-01,55.440658054417,1332,10445,10513,12.62839857616485,2.9862657820467584,7.887471867966992,0.8447111777944486,False
Bihar,Gaya,2025-12-01,55.38100642929289,4479,36694,21920,12.753165005589281,5.754651948417741,4.893080357142857,0.28370535714285716,False
Madhya Pradesh,Sehore,2025-12-01,55.12689501181794,1783,5139,13431,13.998014075253584,0.7465664455116897,7.5291479820627805,0.8733183856502242,False
Chhattisgarh,Bastar,2025-12-01,54.99667635538967,2372,17746,20512,12.923436022993851,0.0,8.64433206911083,0.8398651495996629,False
Karnataka,Davangere,2025-12-01,54.99022835203234,1581,6563,8335,11.888816948238686,0.15995704166767974,5.269279393173198,0.9570164348925411,False
Maharashtra,Pune,2025-12-01,54.94992365307092,5406,97257,89018,9.792136203078835,2.4621282062600507,16.463658220824858,0.8268910671351951,False
Chhattisgarh,Sukma,2025-12-01,54.78896221591553,425,4193,8489,13.593289163101282,4.852030263919617,19.929577464788732,0.5985915492957746,False
Maharashtra,Gadchiroli,2025-12-01,54.598746853430825,644,8529,18771,3.801404295780124,0.18310204811135158,29.10387596899225,0.9224806201550387,False
Madhya Pradesh,Shahdol,2025-12-01,54.42667872806543,1636,8195,12054,15.813369458071795,0.016503504299046335,7.3640806353084916,0.8918753817959683,False
Odisha,Dhenkanal,2025-12-01,54.284456285164815,710,5922,7365,11.117794567942985,8.317766166719343,10.360056258790436,0.8551336146272855,False
Maharashtra,Nanded,2025-12-01,54.27467248148011,1645,32966,36808,2.7623269995669264,1.0839701418642231,22.36269744835966,0.8657351154313487,False
Madhya Pradesh,Dindori,2025-12-01,54.25208473968852,813,4159,6294,13.918904176381055,0.0,7.733415233415234,0.9545454545454546,False
Rajasthan,Ganganagar,2025-12-01,54.15676308760574,1578,10857,14684,12.74512146903118,0.34456912869770284,9.300189993666878,0.8188727042431919,False
